Ingredient,Rating,Description,Categories,Further information
"Saccharomyces potassium ferment",Average,"Extract of yeast fermented in the presence of potassium ions.","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/saccharomyces-potassium-ferment
"saccharomyces selenium ferment",Good,"An ingredient created by the fermentation of the Saccharomyces yeast with the mineral selenium.","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/saccharomyces-selenium-ferment
"Saccharomyces silicon ferment",Average,"Extract of yeast fermented in the presence of silicon ions.","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/saccharomyces-silicon-ferment
"Saccharomyces zinc ferment",Average,"Extract of yeast fermented in the presence of zinc ions.","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/saccharomyces-zinc-ferment
"safflower seed oil",Best,"Emollient plant oil similar to all nonfragrant plant oils. Safflower oil can be an antioxidant when...","Antioxidants, Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/safflower-seed-oil
"sage extract",Poor,"Aromatic plant used most often to enhance the flavor of foods. Like all plant extracts, sage...","Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/sage-extract
"salicin",Good,"See willow bark","Anti-Irritants, Plant Extracts",
"salicylic acid",Best,"Referred to as beta hydroxy acid (BHA), it is a multifunctional ingredient that addresses many of...","Anti-Irritants, Leave-On Exfoliant, Antibacterial/Anti-Acne",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/salicylic-acid
"Salix alba extract",Good,"See willow bark","Anti-Irritants, Plant Extracts",
"Salix nigra (willow) bark extract",Good,"See willow bark","Anti-Irritants, Plant Extracts",
"Salvia officinalis",Poor,"See sage extract","Plant Extracts, Thickeners/Emulsifiers, Surfactants/Detergent Cleansing Agents",
"Sambucus canadensis",Good,"See elderberry","Antioxidants, Plant Extracts",
"Sambucus cerulea",Good,"Blue elderberry. May have antioxidant properties for skin (Source: Phytotherapy Research, February...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/sambucus-cerulea
"Sambucus nigra",Good,"See black elderberry","Antioxidants, Plant Extracts",
"sandalwood oil",Poor,"Fragrant oil that can cause skin irritation or allergic reactions (Source: American Journal of...","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/sandalwood-oil
"Santalum album seed extract",Average,"Latin name for sandalwood extract, which is used in cosmetics as a fragrance. It can have...","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/santalum-album-seed-extract
"Sapindus mukurossi peel extract",Good,"A plant extract that is a natural source of saponin (Source: Chinese Journal of Chromatography,...","Anti-Irritants, Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/sapindus-mukurossi-peel-extract
"Saponaria officinalis extract",Good,"See soapwort","Plant Extracts, Antibacterial/Anti-Acne, Surfactants/Detergent Cleansing Agents",
"saponin",Good,"Group of natural carbohydrates, found in plants, that have considerable potential as pharmaceutical...","Anti-Irritants, Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/saponin
"Sargassum filipendula extract",Good,"See algae","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",
"sausurrea oil",Poor,"Also called costus oil. Volatile oil and fragrant component used in cosmetics; it can be a skin...","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/sausurrea-oil
"saw palmetto extract",Average,"Plant extract that, when taken orally, has been shown in short-term trials to be efficacious in...","Anti-Irritants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/saw-palmetto-extract
"Saxifraga sarmentosa extract",Average,"See strawberry begonia","Plant Extracts",
"sclareolide",Poor,"Fermented from clary sage and used as a fragrant component in cosmetics.","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/sclareolide
"Sclerocarya birrea",Best,"More commonly known as marula oil, Sclerocarya birrea oil is a non-fragrant plant oil that's a rich source...","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/Sclerocarya-birrea-seed-oil
"sclerotium gum",Good,"Used as a thickening agent in cosmetics.","Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/sclerotium-gum
"Scutellaria baicalensis extract",Good,"See skullcap extract","Anti-Irritants, Antioxidants, Plant Extracts",
"SD alcohol",Poor,"See alcohol","Irritants",
"SD alcohol 40-2",Poor,"Denatured alcohol used as a solvent. It can be drying and irritating to skin when one of the main...","Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/irritants/SD-alcohol-40-2
"sea buckthorn",Good,"Berry extract that grows on a shrub-like tree. Sea buckthorn is believed to have several topical...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/sea-buckthorn
"sea salt",Average,"Can be effective as a topical scrub, but if left on skin it can increase skin sensitivity to UVB...","Scrub Agents, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/scrub-agents/sea-salt
"sea whip extract",Best,"Extract from a creature that inhabits coral reefs, known for its anti-inflammatory properties...","Anti-Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/sea-whip-extract
"Seamollient",Good,"Trade name for an algae extract.","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/seamollient
"seaweed",Good,"Group of sea plants (scientific name: algae) of all sizes and shapes, and having a gelatin-like...","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/seaweed
"sebacic acid",Good,"Used as a pH adjuster.","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/sebacic-acid
"selenium",Best,"Mineral considered to be a potent antioxidant (Source: Biomedicine and Pharmacotherapy, June 2002,...","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/selenium
"self-heal",Average,"Plant that has antihistamine, anti-inflammatory, antiviral, and antioxidant properties when taken...","Anti-Irritants, Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/self-heal
"Serenoa serrulata extract",Average,"See saw palmetto extract","Anti-Irritants, Plant Extracts",
"sericin",Good,"Scientific name for silk protein.","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/sericin
"serine",Good,"See amino acid","Antioxidants, Skin-Identical/Repairing Ingredients",
"sesame oil",Good,"Emollient oil similar to other nonfragrant plant oils.","Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/sesame-oil
"Sesamum indicum",Good,"See sesame oil","Plant Extracts, Emollients",
"sesquioleate",Good,"Used in cosmetics as a thickening agent and emollient","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/sesquioleate
"Shao-yao",Average,"See peony root extract","Antioxidants, Plant Extracts",
"shea butter",Best,"A plant lipid extracted from the karite tree that is used as an emollient in cosmetics. Shea butter...","Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/shea-butter
"Siegesbeckia orientalis",Average,"Chinese herb (also known as St. Paul’s wort) for which there is no research showing that it has any...","Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/siegesbeckia-orientalis
"silica",Good,"Mineral found abundantly in sandstone, clay, and granite, as well as in parts of plants and...","Thickeners/Emulsifiers, Absorbent",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/silica
"silica dimethyl silylate",Good,"Used as a slip and suspending agent.","Silicones, Slip Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/silicones/silica-dimethyl-silylate
"silicate",Good,"Inorganic salt that has potent absorbing and thickening properties.","Thickeners/Emulsifiers, Absorbent",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/silicate
"silicone",Good,"Substance derived from silica (sand is a silica). The unique fluid properties of silicone give it a...","Silicones, Slip Agents, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/silicones/silicone
"silk",Good,"See silk protein","Antioxidants",
"silk powder",Good,"Synthetically derived powder used as an absorbent and slip agent.","Absorbent, Slip Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/absorbent/silk-powder
"silk protein",Good,"Protein substance (also called sericin) formed by converting silk, which is the soft, lustrous...","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/silk-protein
"siloxane",Good,"See silicone","Silicones, Slip Agents, Emollients",
"silt",Good,"A sediment obtained from various bodies of water. Silt’s absorbent nature helps it function to...","Absorbent",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/absorbent/silt
"silver",Poor,"Metallic element that in cosmetics can have disinfecting properties; however, prolonged contact can...","Antibacterial/Anti-Acne, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antibacterial-anti-acne/silver
"silver chloride",Average,"See silver sulfadiazine","Irritants",
"silver sulfadiazine",Average,"Can be effective for wound healing (Source: Journal of Vascular Surgery, August 1992, pages...","Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/irritants/silver-sulfadiazine
"silver tip white tea leaf extract",Best,"See white tea leaf extract , green tea","Anti-Irritants, Antioxidants, Plant Extracts",
"Silybum marianum extract",Average,"See lady's thistle extract","Plant Extracts, Irritants",
"simethicone",Good,"Mixture of dimethicone with silica; related to silicones, but used as an antifoaming agent.","Silicones, Slip Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/silicones/simethicone
"Simmondsia chinensis",Best,"See jojoba oil","Plant Extracts, Emollients, Skin-Identical/Repairing Ingredients",
"sirtuins",Average,"An acronym for Silent Information Regulator Two proteins. They are a class of proteins thought to...","Cell-Communicating Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/cell-communicating-ingredients/sirtuins
"skin respiratory factor",Average,"See tissue respiratory factor (TRF)","Miscellaneous",
"skin-identical ingredients",Best,"The termd “skin-identical ingredients” or ""skin-repairing ingredients"" refers to the substances...","Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/skin-identical-ingredients/skin-identical-ingredients
"skin-repairing ingredients",Best,"Any of numerous ingredients capable of repairing skin's barrier function so that it can function in...","Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/skin-identical-ingredients/skin-repairing
"skullcap extract",Good,"Herbal extract from Scutellaria baicalensis that has antioxidant and anti-inflammatory properties...","Anti-Irritants, Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/skullcap-extract
"slip agent",Good,"Term used to describe a range of ingredients that help other ingredients spread over the skin and...","Slip Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/slip-agents/slip-agent
"slippery elm bark",Good,"Can be an anti-irritant and anti-inflammatory.","Anti-Irritants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/slippery-elm-bark
"soap",Poor,"True “soaps” are regulated by the Consumer Product Safety Commission and are not required to list...","Surfactants/Detergent Cleansing Agents, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/soap
"soapberry extract",Good,"Extract from the tree Sapindus saponaria. The berries contain a good amount of Saponins.","Anti-Irritants, Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/soapberry-extract
"soapwort",Good,"Plant from which is derived an extract with detergent cleansing properties. There is some research...","Plant Extracts, Antibacterial/Anti-Acne, Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/soapwort
"sodium acetate",Good,"The sodium salt derived from acetic acid, it serves as a buffering agent when used in small amounts...","",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/sodium-acetate
"sodium acrylate/acryloydimethyl taurate copolymer",Good,"Synthetic polymer used as a stabilizing and suspending agent and as a thickening agent.","Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/sodium-acrylateacryloydimethyl-taurate-copolymer
"sodium ascorbate",Best,"See ascorbic acid","Antioxidants, Vitamins",
"sodium ascorbyl phosphate",Best,"A stable, water-soluble form of vitamin C that functions as an antioxidant (Sources: Journal of...","Anti-Irritants, Antioxidants, Antibacterial/Anti-Acne, Vitamins",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/sodium-ascorbyl-phosphate
"sodium benzoate",Good,"Salt of benzoic acid used as a preservative.","Preservatives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/preservatives/sodium-benzoate
"sodium bisulfite",Average,"Used in acid-type permanent waves to alter the shape of hair. It is less damaging than alkaline...","Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/irritants/sodium-bisulfite
"sodium borate",Poor,"See borate","Irritants",
"sodium C14-16 olefin sulfonate",Poor,"Can be derived from coconut. Used primarily as a detergent cleansing agent, but is potentially...","Surfactants/Detergent Cleansing Agents, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/sodium-c14-16-olefin-sulfonate
"sodium carbomer",Good,"A blend of sodium (salt) and carbomer that functions as a stabilizer and film-forming agent.","Film-Forming/Holding Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/film-forming-holding-agents/sodium-carbomer
"sodium carbonate",Poor,"Absorbent salt used in cosmetics; it can also be a skin irritant.","Absorbent, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/absorbent/sodium-carbonate
"sodium carboxymethyl beta-glucan",Good,"A carbohydrate ingredient with a gel-like texture, it functions as a binding agent and thickening...","Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/sodium-carboxymethyl-beta-glucan
"sodium cetearyl sulfate",Good,"A mixture of stearyl and cetyl sulfate that funtions as a surfactant.","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/sodium-cetearyl-sulfate
"sodium chloride",Good,"More popularly known as common table salt. Used primarily as a binding agent in skin-care products...","Scrub Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/scrub-agents/sodium-chloride
"sodium chondroitin sulfate",Best,"Derived from natural mucopolysaccharides, it functions as a skin-conditioning agent and helps...","Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/skin-identical-ingredients/sodium-chondroitin-sulfate
"sodium citrate",Good,"Used primarily to control the pH level of a product, this ingredient also has antioxidant and...","Antioxidants, Preservatives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/sodium-citrate
"sodium cocoamphoacetate",Good,"A gentle cleansing agent derived from coconut fatty acids. It functions as a cleansing agent and...","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/sodium-cocoamphoacetate
"sodium cocoate",Poor,"Used as a cleansing agent primarily in soaps. It can be drying and irritating for skin.","Surfactants/Detergent Cleansing Agents, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/sodium-cocoate
"sodium cocoyl glutamate",Good,"A cleansing agent derived from coconut oil. This ingredient is also used to help soften (remove...","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/sodium-cocoyl-glutamate
"sodium cocoyl isethionate",Good,"Derived from coconut, it is a mild detergent cleansing agent.","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/sodium-cocoyl-isethionate
"sodium dehydroacetate",Good,"Organic salt used as a preservative.","Preservatives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/preservatives/sodium-dehydroacetate
"sodium dilauramidoglutamide lysine",Good,"A plant-derived ingredient that helps repair skin and hair...","Emulsifiers, Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emulsifiers/sodium-dilauramidoglutamide-lysine
"sodium hexametaphosphate",Good,"Salt with multiple functions in cosmetics. It can act as a detergent, an emulsifier, a texturizer,...","Thickeners/Emulsifiers, Preservatives, Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/sodium-hexametaphosphate
"sodium hyaluronate",Best,"The salt form of skin-identical ingredient hyaluronic acid.","Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/skin-identical-ingredients/sodium-hyaluronate
"sodium hydroxide",Average,"Also known as lye, it is a highly alkaline ingredient used in small amounts in cosmetics to...","Surfactants/Detergent Cleansing Agents, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/sodium-hydroxide
"sodium hydroxymethylglycinate",Good,"Derived from amino acids and used as a skin- and hair-conditioning agent, and to a lesser extent as...","Preservatives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/preservatives/sodium-hydroxymethylglycinate
"sodium lactate",Good,"Sodium salt of lactic acid. Used primarily as a water-binding and buffering agent (to adjust a...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/sodium-lactate
"sodium lactobionate",Average,"White, crystalline powder used to synthesize other chemicals. May function as a preservative in...","Preservatives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/preservatives/sodium-lactobionate
"sodium laureth sulfate",Good,"Can be derived from coconut; it is used primarily as a detergent cleansing agent. It is considered...","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/sodium-laureth-sulfate
"sodium laureth-13 carboxylate",Good,"Used primarily as a detergent cleansing agent. ","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/sodium-laureth-13-carboxylate
"sodium lauroamphoacetate",Good,"Mild surfactant also used as a lather agent.","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/sodium-lauroamphoacetate
"sodium lauroyl lactylate",Good,"Used as an emulsifier and mild thickening agent in cosmetics. In higher concentrations, it...","Thickeners/Emulsifiers, Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/sodium-lauroyl-lactylate
"sodium lauroyl sarcosinate",Good,"Surfactant known (and used) for its foam-boosting properties.","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/sodium-lauroyl-sarcosinate
"sodium lauryl glucose carboxylate",Good,"A gentle cleansing agent that may be derived from coconut or made synthetically.","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/sodium-lauryl-glucose-carboxylate
"sodium lauryl sulfate",Poor,"Versatile ingredient composed of several non-volatile alcohols. Functions primarily as a surfactant...","Thickeners/Emulsifiers, Surfactants/Detergent Cleansing Agents, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/sodium-lauryl-sulfate
"sodium metabisulfite",Average,"Reducing agent that alters the structure of hair. It can also be used as a preservative in...","Antioxidants, Preservatives, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/sodium-metabisulfite
"sodium methyl cocoyl taurate",Good,"Mild surfactant.","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/sodium-methyl-cocoyl-taurate
"sodium methyl taurate",Good,"Mild surfactant.","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/sodium-methyl-taurate
"sodium myreth sulfate",Good,"Detergent cleansing agent similar to sodium laureth sulfate or ammonium laureth sulfate...","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/sodium-myreth-sulfate
"sodium palm kernelate",Poor,"See sodium palmate , soap","Surfactants/Detergent Cleansing Agents",
"sodium palmate",Poor,"A soap ingredient created by the salts of acids derived from palm oil. May be naturally-derived or...","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/sodium-palmate
"sodium PCA",Best,"PCA (pyrrolidone carboxylic acid) is a natural component of skin that is also a very good...","Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/skin-identical-ingredients/sodium-pca
"sodium PEG-7 olive oil carboxylate",Good,"A mild surfactant formed by reacting fatty acids from olive oil esters from polyethylene glycol...","Surfactants/Detergent Cleansing Agents, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/sodium-peg-7-olive-oil-carboxylate
"sodium phytate",Good,"The salt form of the corn-derived plant component phytic acid, used as a chelating agent in...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/sodium-phytate
"sodium polyacrylate",Good,"A synthetic polymer with multiple functions, including film-forming agent, stabilizer, absorbent,...","Thickeners/Emulsifiers, Absorbent, Film-Forming/Holding Agents, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/sodium-polyacrylate
"sodium salicylate",Average,"Salt form of salicylic acid (BHA). Because it is not the acid form of salicylate (i.e., salicylic...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/sodium-salicylate
"sodium silicate",Poor,"Highly alkaline and potentially irritating antiseptic and mineral used in cosmetics (Source:...","Antibacterial/Anti-Acne, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antibacterial-anti-acne/sodium-silicate
"sodium sulfite",Average,"Reducing agent that alters the structure of hair. It can also be used as a preservative in cosmetic...","Preservatives, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/preservatives/sodium-sulfite
"sodium tallowate",Poor,"Sodium salt of tallow.","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/sodium-tallowate
"sodium thioglycolate",Poor,"See thioglycolate","Irritants",
"sodium trideceth sulfate",Good,"See surfactant","Surfactants/Detergent Cleansing Agents",
"Solanum lycopersicum extract",Average,"See tomato extract","Antioxidants, Plant Extracts, Irritants",
"Solanum tuberosum extract",Good,"Extract that is potato starch. Used as a thickening agent in cosmetics.","Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/solanum-tuberosum-extract
"soluble fish collagen",Good,"See collagen","Miscellaneous",
"solvent",Good,"Describes a large group of ingredients, including water, that are used to dissolve or break down...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/solvent
"Sonojell",Good,"Trade name for petrolatum.","Anti-Irritants, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/sonojell
"sorbic acid",Good,"Preservative derived from mountain ash berries or manufactured synthetically. Sorbic acid is used...","Preservatives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/preservatives/sorbic-acid
"sorbitan oleate",Good,"See emulsifier","Thickeners/Emulsifiers",
"sorbitan sesquioleate",Good,"See emulsifier","Thickeners/Emulsifiers",
"sorbitan stearate",Good,"Used to thicken and stabilize cosmetic formulations.","Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/sorbitan-stearate
"sorbitol",Good,"Can be created synthetically or derived from natural sources. Similar to glycerin, it is a...","Thickeners/Emulsifiers, Slip Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/sorbitol
"soy extract",Best,"Potent antioxidant and anti-inflammatory agent for skin (Sources: Cancer Investigation, 1996,...","Anti-Irritants, Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/soy-extract
"soy isoflavones",Best,"See soy extract","Anti-Irritants, Antioxidants, Plant Extracts",
"soy oil",Best,"Emollient oil similar to all nonfragrant plant oils.","Anti-Irritants, Antioxidants, Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/soy-oil
"soy protein",Best,"See soy extract","Anti-Irritants, Antioxidants, Plant Extracts",
"soya sterol",Average,"Form of phytosterol. There is no research showing soy sterols have any estrogenic or antioxidant...","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/soya-sterol
"spearmint oil",Poor,"Fragrant, volatile oil that can cause skin irritation and allergic reactions.","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/spearmint-oil
"SPF",Best,"See sun protection factor","Miscellaneous",
"sphingolipids",Best,"Sphingolipids are complex lipids (fats) that function as skin-repairing and conditioning ingredients...","Cell-Communicating Ingredients, Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/cell-communicating-ingredients/sphingolipids
"spikenard",Good,"Plant that has antibacterial properties for skin.","Plant Extracts, Antibacterial/Anti-Acne",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/spikenard
"Spiraea ulmaria",Best,"See meadowsweet extract","Anti-Irritants, Plant Extracts",
"spirulina",Good,"See algae","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",
"squalane",Best,"See natural moisturizing factor (NMF) , squalene","Antioxidants, Emollients, Skin-Identical/Repairing Ingredients",
"squalene",Best,"Oil derived from shark liver or from plants (usually olives) and sebum. It is a natural component...","Antioxidants, Emollients, Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/squalene
"St. John's wort",Good,"Contains several components that are toxic on skin in the presence of sunlight (Sources: Planta...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/st-johns-wort
"star anise",Poor,"See anise","Antioxidants, Fragrance: Synthetic and Fragrant Plant Extracts, Antibacterial/Anti-Acne, Irritants",
"steapyrium chloride",Good,"Antistatic agent used in hair-care products.","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/steapyrium-chloride
